month_id,customer_id,pricing_action,annual_fee_old,annual_fee_new,retention_offer,credit_line_change,campaign_contact,campaign_response,fee_reversal_reason,pricing_exception
2024-01,C000001,Credit Line Review,1300.0,1300.0,0,-4177,0,0,,0
2024-01,C000011,Credit Line Review,700.0,700.0,0,1687,1,0,,0
2024-01,C000018,Credit Line Review,700.0,700.0,0,162,1,0,,0
2024-01,C000021,Credit Line Review,700.0,700.0,0,1082,0,0,,0
2024-01,C000024,Credit Line Review,1300.0,1300.0,0,1616,1,0,,0
2024-01,C000031,None,700.0,700.0,0,0,0,0,,0
2024-01,C000033,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000037,Retention Offer,700.0,700.0,1,0,1,1,Retention,1
2024-01,C000039,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000042,Fee Waiver,700.0,0.0,0,0,1,0,Manual,1
2024-01,C000044,Credit Line Review,700.0,700.0,0,-1307,1,0,,0
2024-01,C000078,Credit Line Review,700.0,700.0,0,2937,1,0,,0
2024-01,C000105,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000115,None,700.0,700.0,0,0,0,0,,0
2024-01,C000138,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000152,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000184,Retention Offer,2600.0,2600.0,1,0,1,0,Retention,0
2024-01,C000207,Retention Offer,1300.0,1300.0,1,0,1,0,Retention,0
2024-01,C000208,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000224,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000228,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000236,Credit Line Review,2600.0,2600.0,0,5333,1,0,,0
2024-01,C000239,Credit Line Review,1300.0,1300.0,0,-3640,1,0,,0
2024-01,C000247,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000257,Retention Offer,700.0,700.0,1,0,1,0,Retention,1
2024-01,C000269,Fee Waiver,1300.0,0.0,1,0,1,1,Retention,1
2024-01,C000274,Campaign,1300.0,1300.0,0,0,1,1,,0
2024-01,C000276,Credit Line Review,700.0,700.0,0,463,1,0,,0
2024-01,C000287,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000293,Campaign,2600.0,2600.0,0,0,1,0,,0
2024-01,C000296,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000297,Credit Line Review,2600.0,2600.0,0,8549,1,0,,0
2024-01,C000306,Credit Line Review,700.0,700.0,0,1350,1,0,,0
2024-01,C000318,Fee Waiver,700.0,350.0,1,0,1,1,Complaint,1
2024-01,C000321,Fee Waiver,1300.0,650.0,0,0,0,0,Ops,1
2024-01,C000324,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000343,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000346,Retention Offer,700.0,700.0,1,0,1,0,Complaint,0
2024-01,C000350,Retention Offer,1300.0,1300.0,1,0,1,0,Retention,0
2024-01,C000358,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000366,Credit Line Review,700.0,700.0,0,4808,0,0,,0
2024-01,C000378,Campaign,1300.0,1300.0,0,0,1,1,,0
2024-01,C000383,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000389,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000431,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000453,Retention Offer,700.0,700.0,1,0,1,0,Complaint,0
2024-01,C000460,Credit Line Review,700.0,700.0,0,3074,0,0,,0
2024-01,C000463,Campaign,2600.0,2600.0,0,0,1,0,,0
2024-01,C000494,Credit Line Review,700.0,700.0,0,266,1,0,,0
2024-01,C000495,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000499,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000501,Campaign,4200.0,4200.0,0,0,1,0,,0
2024-01,C000518,Campaign,2600.0,2600.0,0,0,1,0,,0
2024-01,C000528,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000529,Campaign,700.0,700.0,0,0,1,1,,0
2024-01,C000558,Campaign,1300.0,1300.0,0,0,1,1,,0
2024-01,C000564,Credit Line Review,700.0,700.0,0,-669,1,0,,0
2024-01,C000577,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000592,None,700.0,700.0,0,0,0,0,,0
2024-01,C000594,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000597,Credit Line Review,2600.0,2600.0,0,11832,0,0,,0
2024-01,C000618,Credit Line Review,700.0,700.0,0,241,1,1,,0
2024-01,C000634,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000646,Campaign,700.0,700.0,0,0,1,0,,0
2024-01,C000699,Retention Offer,700.0,700.0,1,0,1,0,Retention,0
2024-01,C000704,Fee Waiver,2600.0,0.0,1,0,1,1,Retention,1
2024-01,C000723,Credit Line Review,700.0,700.0,0,801,0,0,,0
2024-01,C000728,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000734,Campaign,1300.0,1300.0,0,0,1,1,,0
2024-01,C000777,Fee Waiver,1300.0,0.0,1,0,1,0,Complaint,1
2024-01,C000781,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000798,Campaign,700.0,700.0,0,0,1,1,,0
2024-01,C000801,Retention Offer,4200.0,4200.0,1,0,1,1,Retention,0
2024-01,C000830,None,700.0,700.0,0,0,0,0,,0
2024-01,C000832,Campaign,1300.0,1300.0,0,0,1,0,,0
2024-01,C000845,None,1300.0,1300.0,0,0,0,0,,0
2024-01,C000862,Campaign,2600.0,2600.0,0,0,1,0,,0
2024-01,C000864,Retention Offer,2600.0,2600.0,1,0,1,0,Retention,0
2024-01,C000895,None,2600.0,2600.0,0,0,0,0,,0
2024-01,C000897,Retention Offer,2600.0,2600.0,1,0,1,0,Retention,0
2024-01,C000898,None,700.0,700.0,0,0,0,0,,0
2024-01,C000933,Credit Line Review,700.0,700.0,0,2363,1,1,,0
2024-01,C000938,Credit Line Review,1300.0,1300.0,0,2326,1,0,,0
